,symbol,time stamp,open,high,low,close,volume
35278,TSLA,2023-02-24 15:58,196.89,197.0,196.79,196.815,420438
35279,TSLA,2023-02-24 15:59,196.82,196.96,196.75,196.862,765393
35280,TSLA,2023-02-24 16:00,196.88,196.88,196.71,196.76,275452
35281,TSLA,2023-02-24 16:01,196.76,196.84,196.67,196.74,22262
35282,TSLA,2023-02-24 16:02,196.75,196.85,196.73,196.8,11138
35283,TSLA,2023-02-24 16:03,196.8,196.84,196.76,196.78,7140
35284,TSLA,2023-02-24 16:04,196.77,196.83,196.72,196.81,11063
35285,TSLA,2023-02-24 16:05,196.81,196.82,196.71,196.73,11067
35286,TSLA,2023-02-24 16:06,196.72,196.74,196.71,196.71,8541
35287,TSLA,2023-02-24 16:07,196.71,196.7361,196.71,196.7112,5847
35288,TSLA,2023-02-24 16:08,196.71,196.88,196.64,196.71,38555
